Centro,Nombre científico (especie),Código del arbol,Area basal de arbol (dm²),Diametro de tronco equivalente (cm),Altura de arbol normalizada (m),Altura de copa normalizada (m),Diametro de copa promedio (m),Excentricidad de copa
CUVALLES,Salix bonplandiana,C14-5-518,7.43,30.8,7.2,5.7,8,0.4
CUVALLES,Pithecellobium dulce,C14-5-519,5.93,27.5,6.6,5.3,7.5,0.23
CUVALLES,Salix humboldtiana,C14-5-520,1.54,14,5.2,3.8,6.5,0.52
CUVALLES,Salix humboldtiana,C14-5-521,3.02,19.6,6.9,5.9,6.3,0.69
CUVALLES,Salix bonplandiana,C14-5-522,0.35,6.7,4.3,3.2,3.5,0.71
CUVALLES,Ficus benjamina,C14-5-523,7.31,30.5,5.9,4.6,6.5,0.49
CUVALLES,Salix humboldtiana,C14-5-524,0.44,7.5,3.5,2.1,3.1,0.35
CUVALLES,Ficus benjamina,C14-5-525,6.2,28.1,6,4.9,6,0.61
CUVALLES,Fraxinus uhdei,C14-5-526,0.2,5,4.6,2.7,1.5,0.48
CUVALLES,Salix humboldtiana,C14-5-527,0.47,7.7,4,1.4,5.7,0.62
CUVALLES,Salix humboldtiana,C14-5-528,2.49,17.8,7,6.2,6.7,0.41
CUVALLES,Spathodea campanulata,C14-5-529,0.8,10.1,3.3,2.2,3.8,0.38
CUVALLES,Pithecellobium dulce,C14-5-530,3.62,21.5,5.4,4,8.7,0.15
CUVALLES,Salix humboldtiana,C14-5-531,0.45,7.6,3.2,2.9,3.7,0.76
CUVALLES,Salix humboldtiana,C14-5-532,0.62,8.9,4.4,3.5,3.8,0.38
CUVALLES,Salix humboldtiana,C14-5-533,0.21,5.2,3.3,2.4,4.1,0.54
CUVALLES,Salix bonplandiana,C14-5-534,0.3,6.2,4,3.1,4.2,0.42
CUVALLES,Salix humboldtiana,C14-5-535,0.8,10.1,3.5,2.6,5.1,0.38
CUVALLES,Prosopis laevigata,C14-5-536,6.25,28.2,6.7,5.8,10.1,0.33
CUVALLES,Ipomoea intrapilosa,C14-5-537,4.79,24.7,3.5,2.7,6.9,0.29
CUVALLES,Salix humboldtiana,C14-5-538,0.62,8.9,2.5,2.2,4.7,0.4
CUVALLES,Ficus microcarpa,C14-5-539,0.37,6.9,3.5,2.4,2.4,0.39
CUVALLES,Salix bonplandiana,C14-5-540,12.68,40.2,9.2,8,9.6,0.25
CUVALLES,Salix bonplandiana,C14-5-541,0.26,5.8,3.5,2.4,3.4,0.33
CUVALLES,Salix humboldtiana,C14-5-542,1.59,14.2,6,5.5,6.2,0.48
CUVALLES,Salix humboldtiana,C14-5-543,0.23,5.4,3.7,3.1,4,0.55
CUVALLES,Fraxinus uhdei,C14-5-544,0.68,9.3,3,1.4,2.4,0.63
CUVALLES,Salix humboldtiana,C14-5-545,0.95,11,5.7,4.6,5.6,0
CUVALLES,Salix bonplandiana,C14-5-546,1.17,12.2,4.9,3.7,4.3,0.21
CUVALLES,Salix bonplandiana,C14-5-547,1.84,15.3,6.3,4.7,4.3,0.21
CUVALLES,Fraxinus uhdei,C14-5-548,3.73,21.8,5.5,4.1,4.7,0.21
CUVALLES,Fraxinus uhdei,C14-5-549,2.1,16.3,5.8,4.4,3.9,0.22
CUVALLES,Fraxinus uhdei,C14-5-550,1.86,15.4,6.6,5.2,3.9,0.43
CUVALLES,Fraxinus uhdei,C14-5-551,0.95,11,6.4,5.2,3,0.35
CUVALLES,Salix humboldtiana,C14-5-552,1.06,11.6,7.2,5.9,4.9,0.6
CUVALLES,Salix humboldtiana,C14-5-553,0.61,8.8,5.7,4.2,3.4,0.46
CUVALLES,Salix humboldtiana,C14-5-554,0.5,8,5.3,4.2,3.9,0.22
CUVALLES,Salix humboldtiana,C14-5-555,0.38,7,4.5,3.4,3.7,0.39
CUVALLES,Salix humboldtiana,C14-5-556,0.64,9,5.7,4.4,4.8,0.47
CUVALLES,Salix humboldtiana,C14-5-557,1,11.3,6,3.9,4,0.63
CUVALLES,Salix humboldtiana,C14-5-558,1.47,13.7,7,5.7,5.1,0.57
CUVALLES,Salix humboldtiana,C14-5-559,0.54,8.3,5.4,3.9,4.7,0.44
CUVALLES,Salix humboldtiana,C14-5-560,0.21,5.2,4.2,2.8,3.2,0.56
CUVALLES,Salix humboldtiana,C14-5-561,0.64,9,5.2,3.8,5,0.38
CUVALLES,Salix humboldtiana,C14-5-562,0.8,10.1,5,3.3,4.5,0.48
CUVALLES,Salix humboldtiana,C14-5-563,0.5,8,4.1,2.6,4.1,0.73
CUVALLES,Salix humboldtiana,C14-5-564,0.4,7.1,4,2.9,4.1,0
CUVALLES,Jacaranda mimosifolia,C14-5-565,6.37,28.5,8.7,7.7,8.6,0.66
CUVALLES,Salix humboldtiana,C14-5-566,0.49,7.9,3.5,2.7,3.9,0.55
CUVALLES,Salix humboldtiana,C14-5-567,0.71,9.5,4.5,3.4,2.7,0.67
CUVALLES,Jacaranda mimosifolia,C14-5-568,3.72,21.8,6.6,5.2,7.3,0.28
CUVALLES,Pinus douglasiana,C14-5-569,0.27,5.9,4,2.9,2.7,0.67
CUVALLES,Salix humboldtiana,C14-5-570,0.87,10.5,3.7,3.6,4.1,0
CUVALLES,Jacaranda mimosifolia,C14-5-571,0.64,9,3.3,1.7,3.6,0.32
CUVALLES,Ipomoea intrapilosa,C14-5-572,4.75,24.6,5.9,4.4,6.1,0.73
CUVALLES,Jacaranda mimosifolia,C14-5-573,1.07,11.7,3.4,2.1,3.5,0.33
CUVALLES,Bucida buceras,C14-5-574,0.54,8.3,4,2.8,4.7,0.51
CUVALLES,Bucida buceras,C14-5-575,0.26,5.8,3.1,2.1,3.3,0.41
CUVALLES,Bucida buceras,C14-5-576,0.22,5.3,3.7,2.3,5.5,0.37
CUVALLES,Jacaranda mimosifolia,C14-5-577,0.35,6.7,2.9,1.8,2.6,0.68
CUVALLES,Jacaranda mimosifolia,C14-5-578,0.22,5.3,2.9,1.1,2.4,0.29
CUVALLES,Ceiba speciosa,C14-5-579,0.35,6.7,2.7,1.2,2.4,0.47
CUVALLES,Prosopis laevigata,C14-5-580,3.22,20.2,4.4,2.8,6.6,0.17
CUVALLES,Ceiba speciosa,C14-5-581,0.69,9.4,3.2,1.5,2.9,0.54
CUVALLES,Pithecellobium dulce,C14-5-582,2.62,18.2,4.6,3.3,5.7,0.26
CUVALLES,Ceiba speciosa,C14-5-583,0.3,6.2,2.6,0.6,2.1,0.5
CUVALLES,Jacaranda mimosifolia,C14-5-584,0.62,8.9,2.4,1.4,3.6,0.45
CUVALLES,Ceiba speciosa,C14-5-585,0.38,7,2.8,1,2.3,0
CUVALLES,Ceiba speciosa,C14-5-586,0.28,6,1.8,0.6,1.2,0.4
CUVALLES,Hibiscus tiliaceus,C14-5-587,2.72,18.6,6.8,5.5,5.8,0.54
CUVALLES,Hibiscus tiliaceus,C14-5-588,2.17,16.6,6.2,5.1,5.5,0.44
CUVALLES,Salix bonplandiana,C14-5-589,0.79,10,5.4,4.3,4.4,0.61
CUVALLES,Salix humboldtiana,C14-5-590,0.59,8.7,3.5,2.2,3.6,0.53
CUVALLES,Salix humboldtiana,C14-5-591,0.35,6.7,3.4,2.3,2.3,0.79
CUVALLES,Jacaranda mimosifolia,C14-5-592,5.98,27.6,8,7.6,7.9,0.59
CUVALLES,Ceiba speciosa,C14-5-593,0.21,5.2,2,0.6,2.1,0.5
CUVALLES,Salix humboldtiana,C14-5-594,0.68,9.3,4.7,3.8,4.6,0.44
CUVALLES,Salix bonplandiana,C14-5-595,0.44,7.5,3.5,2.1,3,0.48
CUVALLES,Acacia farnesiana,C14-5-596,2.38,17.4,4,3.1,7.8,0.7
CUVALLES,Salix bonplandiana,C14-5-597,1.84,15.3,4.8,3.7,4.4,0.21
CUVALLES,Salix bonplandiana,C14-5-598,1.89,15.5,5.2,3.8,4.4,0.49
CUVALLES,Salix humboldtiana,C14-5-599,2.23,16.8,5.4,4.3,5.8,0.4
CUVALLES,Salix bonplandiana,C14-5-600,1.31,12.9,6,4.7,4.8,0.39
CUVALLES,Salix bonplandiana,C14-5-601,1.02,11.4,4.1,2.6,4,0.31
CUVALLES,Salix humboldtiana,C14-5-602,2.63,18.3,6.6,5.4,7.3,0.51
CUVALLES,Salix bonplandiana,C14-5-603,1.19,12.3,4.7,3.7,3.8,0.38
CUVALLES,Salix bonplandiana,C14-5-604,0.76,9.8,3.5,3.1,4.4,0.21
CUVALLES,Salix humboldtiana,C14-5-605,2.93,19.3,7.3,6.4,6,0.53
CUVALLES,Salix humboldtiana,C14-5-606,2.01,16,6.5,5.1,5.7,0.5
CUVALLES,Ficus microcarpa,C14-5-607,0.62,8.9,3.7,2.5,2.2,0.61
CUVALLES,Cedrela odorata,C14-5-608,0.38,7,3,1.8,2.4,0.29
CUVALLES,Cedrela odorata,C14-5-609,0.2,5,3.3,2.3,2.3,0.54
CUVALLES,Cedrela odorata,C14-5-610,1.19,12.3,3.9,2.8,3.5,0.54
CUVALLES,Cedrela odorata,C14-5-611,0.66,9.2,3.6,2.9,2.6,0.65
CUVALLES,Salix bonplandiana,C14-5-612,7.06,30,8.4,6.6,8,0.37
CUVALLES,Fraxinus uhdei,C14-5-613,0.93,10.9,6.2,4,3,0.43
CUVALLES,Salix bonplandiana,C14-5-614,5.95,27.5,7,4.4,7.1,0.56
CUVALLES,Salix bonplandiana,C14-5-615,13.15,40.9,13.6,10.5,9.2,0.42
CUVALLES,Salix bonplandiana,C14-5-616,2.27,17,5.7,4.3,4.1,0.42
CUVALLES,Salix bonplandiana,C14-5-617,2.69,18.5,4.1,3.1,5.7,0.32
CUVALLES,Salix bonplandiana,C14-5-618,20.3,50.8,8.7,7.4,10.2,0.63
CUVALLES,Salix bonplandiana,C14-5-619,0.5,8,3.3,2.2,4,0.57
CUVALLES,Fraxinus uhdei,C14-5-620,0.66,9.2,5.2,3.5,2.8,0.5
CUVALLES,Fraxinus uhdei,C14-5-621,1.91,15.6,7.5,6.6,3.4,0.61
CUVALLES,Fraxinus uhdei,C14-5-622,2.06,16.2,7.6,6,3.3,0.55
CUVALLES,Fraxinus uhdei,C14-5-623,1.79,15.1,6.1,4.9,4.1,0.54
CUVALLES,Fraxinus uhdei,C14-5-624,0.62,8.9,5.9,4.4,2.7,0.45
CUVALLES,Fraxinus uhdei,C14-5-625,0.25,5.6,3.6,2.2,1.8,0.33
CUVALLES,Fraxinus uhdei,C14-5-626,2.18,16.7,6.8,4.8,4.6,0.48
CUVALLES,Salix bonplandiana,C14-5-627,1.81,15.2,6.8,5.7,4.9,0.5
CUVALLES,Fraxinus uhdei,C14-5-628,1.77,15,6.6,4.7,4.2,0.62
CUVALLES,Salix bonplandiana,C14-5-629,2.94,19.3,8.3,7,5.2,0.76
CUVALLES,Fraxinus uhdei,C14-5-630,1.81,15.2,6.2,4.4,3.9,0.22
CUVALLES,Salix bonplandiana,C14-5-631,0.93,10.9,6.8,5.7,3.1,0.81
CUVALLES,Salix bonplandiana,C14-5-632,1.58,14.2,6.1,4.8,3.7,0.44
CUVALLES,Salix bonplandiana,C14-5-633,3.39,20.8,7.2,5.4,7.3,0.49
CUVALLES,Fraxinus uhdei,C14-5-634,2.29,17.1,6.5,5.4,4.8,0.34
CUVALLES,Salix bonplandiana,C14-5-635,0.27,5.9,3.9,2.1,3.2,0.68
CUVALLES,Salix bonplandiana,C14-5-636,1.38,13.2,4.4,3,5,0.55
CUVALLES,Salix bonplandiana,C14-5-637,4.99,25.2,5.9,5,7.7,0.5
CUVALLES,Salix bonplandiana,C14-5-638,1.04,11.5,4.7,3,4.2,0.46
CUVALLES,Salix bonplandiana,C14-5-639,0.66,9.2,4.1,2.7,2.9,0.65
CUVALLES,Salix bonplandiana,C14-5-640,2.57,18.1,7.6,6.1,6.1,0.51
CUVALLES,Salix bonplandiana,C14-5-641,3.52,21.2,6.6,5.6,6,0.18
CUVALLES,Salix bonplandiana,C14-5-642,1.47,13.7,4.6,3.9,5.6,0.65
CUVALLES,Salix bonplandiana,C14-5-643,1.72,14.8,3.9,3.2,5.2,0.33
CUVALLES,Salix bonplandiana,C14-5-644,0.74,9.7,5.2,3.6,3.9,0.63
CUVALLES,Salix bonplandiana,C14-5-645,0.38,7,4,2.9,2.6,0.46
CUVALLES,Salix bonplandiana,C14-5-646,0.28,6,4.4,2.9,3.2,0.34
CUVALLES,Salix bonplandiana,C14-5-647,1.86,15.4,5.4,3.8,4.7,0
CUVALLES,Salix bonplandiana,C14-5-648,1.23,12.5,7.2,5.2,3.7,0.65
CUVALLES,Salix bonplandiana,C14-5-649,0.26,5.8,3.2,2,2.7,0.37
CUVALLES,Salix bonplandiana,C14-5-650,0.21,5.2,3.5,2,2.5,0.47
CUVALLES,Salix bonplandiana,C14-5-651,0.31,6.3,3.3,1.9,3.4,0.24
CUVALLES,Salix bonplandiana,C14-5-652,0.45,7.6,2.8,1.3,2.8,0.44
CUVALLES,Eugenia sp.,C14-5-653,0.92,10.8,4.9,3.6,3.3,0.24
CUVALLES,Salix bonplandiana,C14-5-654,0.35,6.7,3.1,1.7,2.8,0.26
CUVALLES,Salix bonplandiana,C14-5-655,0.48,7.8,5.2,3.3,2.4,0.39
CUVALLES,Pithecellobium dulce,C14-5-656,1.53,14,4.6,3.7,6.8,0.69
CUVALLES,Salix bonplandiana,C14-5-657,3.01,19.6,6,5.3,5.5,0.53
CUVALLES,Salix bonplandiana,C14-5-658,0.93,10.9,5.1,3.8,3.4,0.59
CUVALLES,Pithecellobium dulce,C14-5-659,6.52,28.8,8.1,6.9,8.2,0.42
CUVALLES,Salix humboldtiana,C14-5-660,0.37,6.9,5,4.1,4.5,0.79
CUVALLES,Salix bonplandiana,C14-5-661,11.35,38,10.7,9.2,8.8,0.15
CUVALLES,Cedrela odorata,C14-5-662,2.21,16.8,3.2,2.3,5.9,0.18
CUVALLES,Casuarina equisetifolia,C14-5-663,0.72,9.6,4.9,3.8,4.3,0.68
CUVALLES,Salix humboldtiana,C14-5-664,0.95,11,3.8,2.8,5.3,0.48
CUVALLES,Salix humboldtiana,C14-5-665,0.55,8.3,2.7,2.5,3.7,0.53
CUVALLES,Salix humboldtiana,C14-5-666,6,27.6,8.8,7.7,8.6,0.33
CUVALLES,Salix humboldtiana,C14-5-667,0.5,8,4.7,3.9,4.1,0.5
CUVALLES,Hibiscus tiliaceus,C14-5-668,2.93,19.3,3.5,2.1,6.9,0.58
CUVALLES,Hibiscus tiliaceus,C14-5-669,2.69,18.5,5.6,4.5,6.4,0.45
CUVALLES,Hibiscus tiliaceus,C14-5-670,3.84,22.1,5.5,4.5,6.4,0.67
CUVALLES,Hibiscus tiliaceus,C14-5-671,2.47,17.7,6.8,5.2,6.6,0.17
CUVALLES,Cupressus lusitanica,C14-5-672,2.73,18.7,7.7,6.5,4.8,0.47
CUVALLES,Hibiscus tiliaceus,C14-5-673,2.15,16.5,5.9,4.6,5.6,0.26
CUVALLES,Hibiscus tiliaceus,C14-5-674,2.07,16.2,4.9,3.8,6,0.66
CUVALLES,Hibiscus tiliaceus,C14-5-675,1.43,13.5,4.3,3.3,5.1,0.42
CUVALLES,Salix humboldtiana,C14-5-676,0.5,8,5.4,4.3,4.3,0.53
CUVALLES,Platycladus orientalis,C14-5-677,0.3,6.2,4.1,3,3.3,0.68
CUVALLES,Salix humboldtiana,C14-5-678,0.57,8.5,4.4,3.8,7.8,0.69
CUVALLES,Salix humboldtiana,C14-5-679,3.2,20.2,5.4,4.4,7.8,0.69
CUVALLES,Salix humboldtiana,C14-5-680,0.82,10.2,3.9,3.7,4.7,0.62
CUVALLES,Salix humboldtiana,C14-5-681,2.61,18.2,5.3,4,5.5,0.55
CUVALLES,Salix humboldtiana,C14-5-682,0.75,9.8,4,2.8,4,0.7
CUVALLES,Salix humboldtiana,C14-5-683,0.82,10.2,2.8,1.7,4.7,0.4
CUVALLES,Fraxinus uhdei,C14-5-684,5.05,25.4,6.9,6,4,0.61
CUVALLES,Salix bonplandiana,C14-5-685,3.56,21.3,9.1,7.3,7,0.54
CUVALLES,Salix bonplandiana,C14-5-686,9.2,34.2,6,5,9.3,0.21
CUVALLES,Fraxinus uhdei,C14-5-687,1.13,12,5.2,4,4.2,0.59
CUVALLES,Fraxinus uhdei,C14-5-688,2.19,16.7,6.9,5.7,3.9,0.72
CUVALLES,Fraxinus uhdei,C14-5-689,2.22,16.8,6.2,4.6,4.9,0.79
CUVALLES,Salix bonplandiana,C14-5-690,6.93,29.7,7.3,4.4,8.9,0.29
CUVALLES,Salix bonplandiana,C14-5-691,3.42,20.9,6.7,5.3,7.6,0.35
CUVALLES,Salix humboldtiana,C14-5-692,0.38,7,2.9,2.7,2.9,0.49
CUVALLES,Salix humboldtiana,C14-5-693,0.59,8.7,3.3,3.1,3.9,0.31
CUVALLES,Salix bonplandiana,C14-5-694,0.29,6.1,4.2,2.9,4,0.31
CUVALLES,Salix humboldtiana,C14-5-695,0.83,10.3,3.7,1.8,4.5,0.58
CUVALLES,Salix bonplandiana,C14-5-696,0.78,10,3.9,2.7,4.8,0.39
CUVALLES,Salix bonplandiana,C14-5-697,6.32,28.4,8.1,6.7,7.8,0.48
CUVALLES,Salix bonplandiana,C14-5-698,1.99,15.9,5.3,3.9,6.4,0.78
CUVALLES,Salix bonplandiana,C14-5-699,3.19,20.2,6.5,5.3,7.1,0.42
CUVALLES,Salix humboldtiana,C14-5-700,1.37,13.2,3.8,2.7,6.5,0.41
CUVALLES,Salix bonplandiana,C14-5-701,0.61,8.8,4.5,3.6,4.6,0.29
CUVALLES,Salix bonplandiana,C14-5-702,0.57,8.5,5,3.7,3.5,0.64
CUVALLES,Salix bonplandiana,C14-5-703,0.32,6.4,3,2.2,4,0.55
CUVALLES,Salix bonplandiana,C14-5-704,0.33,6.5,4.1,3.4,3.5,0.5
CUVALLES,Salix bonplandiana,C14-5-705,0.25,5.6,3.6,2.3,3.2,0.25
CUVALLES,Salix bonplandiana,C14-5-706,0.3,6.2,3.9,3,4.1,0.65
CUVALLES,Salix humboldtiana,C14-5-707,0.21,5.2,4.4,3.8,3.8,0.44
CUVALLES,Salix humboldtiana,C14-5-708,3.02,19.6,7.8,6.7,6.6,0
CUVALLES,Salix humboldtiana,C14-5-709,2.13,16.5,6.9,6,6.4,0.18
CUVALLES,Salix humboldtiana,C14-5-710,1.04,11.5,3.2,2.9,5.9,0.4
CUVALLES,Salix bonplandiana,C14-5-711,0.55,8.4,4.3,3,3.8,0.38
CUVALLES,Salix bonplandiana,C14-5-712,0.45,7.6,3.4,2.7,3.6,0.65
CUVALLES,Salix bonplandiana,C14-5-713,1.14,12,4.3,3.1,5.1,0.55
CUVALLES,Salix bonplandiana,C14-5-714,0.69,9.4,4,2.6,4.5,0.75
CUVALLES,Casimiroa edulis,C14-5-715,0.28,6,2.8,1.5,2.8,0.5
CUVALLES,Pithecellobium dulce,C14-5-716,1.05,11.6,4.4,3.2,5.9,0.31
CUVALLES,Pithecellobium dulce,C14-5-717,1.2,12.3,5.1,4.1,5.4,0.6
CUVALLES,Pithecellobium dulce,C14-5-718,0.38,7,2.5,1.5,4.4,0.82
CUVALLES,Casimiroa edulis,C14-5-719,0.43,7.4,2.8,1.6,3.5,0.33
CUVALLES,Salix humboldtiana,C14-5-720,3.58,21.3,6,4.8,5.7,0.47
CUVALLES,Prosopis laevigata,C14-5-721,1.87,15.4,5,3.5,6.2,0.39
CUVALLES,Salix bonplandiana,C14-5-722,0.48,7.8,3.8,2.3,3.8,0.44
CUVALLES,Salix bonplandiana,C14-5-723,0.45,7.6,3.5,2.4,4.3,0.46
CUVALLES,Prosopis laevigata,C14-5-724,6.08,27.8,6.6,4.8,10.2,0.2
CUVALLES,Prosopis laevigata,C14-5-725,3.45,21,5,3.6,8.2,0.27
CUVALLES,Schinus terebinthifolia,C14-5-726,0.28,6,4.1,3.5,4.8,0.51
CUVALLES,Pithecellobium dulce,C14-5-727,4.08,22.8,6.9,5.7,9.6,0.45
CUVALLES,Salix humboldtiana,C14-5-728,1.22,12.4,4.7,3.7,5.7,0.32
CUVALLES,Salix humboldtiana,C14-5-729,1.19,12.3,4.3,3.2,4.3,0.41
CUVALLES,Salix humboldtiana,C14-5-730,0.71,9.5,4.6,3.4,3.7,0.59
CUVALLES,Salix humboldtiana,C14-5-731,0.28,6,3.4,3.3,4.3,0.3
CUVALLES,Salix bonplandiana,C14-5-732,0.62,8.9,3,2.4,3.3,0.34
CUVALLES,Washingtonia filifera,C14-5-733,18.47,48.5,5.3,3.8,5,0.43
CUVALLES,Washingtonia filifera,C14-5-734,16.12,45.3,5.3,3.8,5,0.43
CUVALLES,Cupressus sempervirens,C14-5-735,0.28,6,3.1,2.9,0.7,0
CUVALLES,Cupressus sempervirens,C14-5-736,0.28,6,3.4,3.4,0.9,0.46
CUVALLES,Cupressus sempervirens,C14-5-737,0.36,6.8,3,2.8,0.7,0
CUVALLES,Cupressus sempervirens,C14-5-738,0.28,6,3.7,3.4,1,0.44
CUVALLES,Cupressus sempervirens,C14-5-739,0.45,7.6,3.3,2.9,0.8,0
CUVALLES,Cupressus sempervirens,C14-5-740,0.37,6.9,4.1,3.9,0.9,0.46
CUVALLES,Melia azedarach,C14-5-741,3.4,20.8,5.7,4,6.7,0.41
CUVALLES,Cupressus sempervirens,C14-5-742,0.5,8,4.7,4.5,0.8,0.48
CUVALLES,Cupressus sempervirens,C14-5-743,0.34,6.6,3.3,3.1,0.8,0
CUVALLES,Cupressus sempervirens,C14-5-744,0.5,8,4.2,4.1,0.9,0.46
CUVALLES,Cupressus sempervirens,C14-5-745,0.24,5.5,3.5,3.3,0.7,0
CUVALLES,Cupressus sempervirens,C14-5-746,0.37,6.9,4.4,4.2,0.9,0.46
CUVALLES,Cupressus sempervirens,C14-5-747,0.52,8.1,6,5.6,0.7,0
CUVALLES,Cupressus sempervirens,C14-5-748,1.33,13,5.5,5.2,1,0.44
CUVALLES,Cupressus sempervirens,C14-5-749,1.23,12.5,5.4,5.1,0.8,0.75
CUVALLES,Cupressus sempervirens,C14-5-750,0.54,8.3,4.8,4.7,1,0.57
CUVALLES,Cupressus sempervirens,C14-5-751,0.59,8.7,5.6,5.5,1,0.44
CUVALLES,Cupressus sempervirens,C14-5-752,2.14,16.5,7.1,7,1.1,0
CUVALLES,Cupressus sempervirens,C14-5-753,0.64,9,7.1,7,1,0.44
CUVALLES,Cupressus sempervirens,C14-5-754,0.57,8.5,7.1,7.1,1.1,0.66
CUVALLES,Cupressus sempervirens,C14-5-755,0.38,7,5.9,5.7,1.1,0.42
CUVALLES,Cupressus sempervirens,C14-5-756,0.75,9.8,6.4,6.2,1,0
CUVALLES,Cupressus sempervirens,C14-5-757,0.37,6.9,5.4,5.3,0.9,0
CUVALLES,Cupressus sempervirens,C14-5-758,0.72,9.6,5.3,5,1.2,0.53
CUVALLES,Cupressus sempervirens,C14-5-759,0.43,7.4,3.7,3.5,1,0.44
CUVALLES,Cupressus sempervirens,C14-5-760,0.68,9.3,6.1,5.8,1.1,0
CUVALLES,Cupressus sempervirens,C14-5-761,0.95,11,6,5.9,1,0.44
CUVALLES,Cupressus sempervirens,C14-5-762,1.13,12,7.3,7.1,1.2,0.4
CUVALLES,Cupressus sempervirens,C14-5-763,0.82,10.2,6.2,6.1,1.2,0
CUVALLES,Cupressus sempervirens,C14-5-764,0.79,10,6.1,5.9,1.1,0.55
CUVALLES,Cupressus sempervirens,C14-5-765,0.66,9.2,6.3,6.2,1.1,0.42
CUVALLES,Cupressus sempervirens,C14-5-766,1.02,11.4,8.8,8.5,0.9,0.6
CUVALLES,Cupressus sempervirens,C14-5-767,1.23,12.5,7.4,7.1,0.8,0.48
CUVALLES,Cupressus sempervirens,C14-5-768,1.13,12,8,7.8,1,0
CUVALLES,Cupressus sempervirens,C14-5-769,1.41,13.4,8,7.9,0.9,0.6
CUVALLES,Cupressus sempervirens,C14-5-770,1.33,13,9.5,9.3,1.1,0.66
CUVALLES,Cupressus sempervirens,C14-5-771,1.23,12.5,7.7,7.5,1,0.44
CUVALLES,Cupressus sempervirens,C14-5-772,1.45,13.6,9.2,9.1,1.2,0.4
CUVALLES,Cupressus sempervirens,C14-5-773,1.06,11.6,7.5,7.2,1,0.44
CUVALLES,Cupressus sempervirens,C14-5-774,0.87,10.5,7.2,7,1,0
CUVALLES,Cupressus sempervirens,C14-5-775,1.81,15.2,8.2,8.1,1.1,0.55
CUVALLES,Cupressus sempervirens,C14-5-776,0.87,10.5,7.2,6.8,1,0
CUVALLES,Cupressus sempervirens,C14-5-777,1.06,11.6,6.6,6.2,1,0
CUVALLES,Cupressus sempervirens,C14-5-778,1.41,13.4,8.2,8.1,1.2,0.53
CUVALLES,Salix humboldtiana,C14-5-779,0.38,7,3.9,3,4.4,0.45
CUVALLES,Cupressus sempervirens,C14-5-780,0.71,9.5,6.3,5.1,1,0.44
CUVALLES,Cupressus sempervirens,C14-5-781,1.33,13,4.8,4.4,1,0.57
CUVALLES,Cupressus sempervirens,C14-5-782,0.62,8.9,4.6,3.5,5,0.43
CUVALLES,Salix bonplandiana,C14-5-783,0.57,8.5,4.6,3.5,5,0.43
CUVALLES,Cupressus sempervirens,C14-5-784,0.79,10,6.5,6.4,1.1,0.55
CUVALLES,Salix humboldtiana,C14-5-785,0.66,9.2,4.1,3.6,4.8,0.39
CUVALLES,Salix humboldtiana,C14-5-786,0.53,8.2,3.8,3.8,5.9,0.31
CUVALLES,Cupressus sempervirens,C14-5-787,1.33,13,7.5,6.7,1,0.44
CUVALLES,Cupressus sempervirens,C14-5-788,0.52,8.1,5.5,5.1,0.9,0.6
CUVALLES,Cupressus sempervirens,C14-5-789,0.87,10.5,6.2,6,0.9,0
CUVALLES,Cupressus sempervirens,C14-5-790,0.71,9.5,5.3,5,0.6,0.55
CUVALLES,Cupressus sempervirens,C14-5-791,0.83,10.3,6.9,6.4,0.7,0
CUVALLES,Cupressus sempervirens,C14-5-792,0.55,8.4,4.8,4.7,0.7,0.52
CUVALLES,Cupressus sempervirens,C14-5-793,0.25,5.6,3.1,2.9,0.8,0.48
CUVALLES,Cupressus sempervirens,C14-5-794,0.79,10,6.4,6.3,0.9,0.46
CUVALLES,Cupressus sempervirens,C14-5-795,0.42,7.3,3.3,1,1,0.44
CUVALLES,Cupressus sempervirens,C14-5-796,1.39,13.3,8.4,8.2,1.1,0.42
CUVALLES,Cupressus sempervirens,C14-5-797,0.38,7,4.2,2.3,0.8,0
CUVALLES,Cupressus sempervirens,C14-5-798,0.41,7.2,4.7,4.4,0.8,0.48
CUVALLES,Cupressus sempervirens,C14-5-799,0.28,6,4.1,3.8,0.9,0
CUVALLES,Cupressus sempervirens,C14-5-800,0.5,8,5,4.9,1.2,0.4
CUVALLES,Cupressus sempervirens,C14-5-801,0.26,5.7,3.9,3,1.8,0.33
CUVALLES,Cupressus sempervirens,C14-5-802,0.26,5.8,3.9,3.2,0.6,0.7
CUVALLES,Cupressus sempervirens,C14-5-803,0.38,7,5.4,5.2,0.7,0.52
CUVALLES,Cupressus sempervirens,C14-5-804,0.43,7.4,5.2,5,1.2,0.85
CUVALLES,Cupressus sempervirens,C14-5-805,0.29,6.1,4.7,4.5,0.9,0.46
CUVALLES,Cupressus sempervirens,C14-5-806,0.55,8.4,4.8,4.6,0.7,0.66
CUVALLES,Cupressus sempervirens,C14-5-807,0.53,8.2,3.9,3.6,0.8,0
CUVALLES,Cupressus sempervirens,C14-5-808,0.26,5.8,4.7,4.2,0.8,0.48
CUVALLES,Cupressus sempervirens,C14-5-809,0.25,5.6,3.7,3.6,0.9,0.6
CUVALLES,Cupressus sempervirens,C14-5-810,0.32,6.4,4.2,4.1,1,0.44
CUVALLES,Bauhinia variegata,C14-5-811,0.35,6.7,3.6,3.4,3,0.68
