Centro,Nombre científico (especie),Código del arbol,Area basal de arbol (dm²),Diametro de tronco equivalente (cm),Altura de arbol normalizada (m),Altura de copa normalizada (m),Diametro de copa promedio (m),Excentricidad de copa
CUNORTE,Prosopis laevigata,C15-6-900,0.38,7,4.3,2.5,3.2,0.89
CUNORTE,Acacia schaffneri,C15-6-901,1.51,13.9,3.6,2.4,4.7,0.66
CUNORTE,Prosopis laevigata,C15-6-902,1.17,12.2,4.1,3,5,0.46
CUNORTE,Prosopis laevigata,C15-6-903,3.33,20.6,6.7,5.2,7.3,0
CUNORTE,Acacia schaffneri,C15-6-904,1.52,13.9,5,2.1,5,0.43
CUNORTE,Prosopis laevigata,C15-6-905,0.75,9.8,3.1,1.9,5,0.34
CUNORTE,Prosopis laevigata,C15-6-906,1.12,11.9,4.2,3.1,4.2,0.46
CUNORTE,Prosopis laevigata,C15-6-907,0.28,6,2.7,1.9,3.2,0.6
CUNORTE,Prosopis laevigata,C15-6-908,6.42,28.6,6.3,5.3,8.2,0.57
CUNORTE,Prosopis laevigata,C15-6-909,20.24,50.8,6.5,5.3,8.5,0.65
CUNORTE,Prosopis laevigata,C15-6-910,2.82,18.9,6.6,4.5,6.7,0.46
CUNORTE,Prosopis laevigata,C15-6-911,0.78,10,5.1,2.9,4.8,0.73
CUNORTE,Prosopis laevigata,C15-6-912,0.28,6,3.9,1.9,5,0.6
CUNORTE,Acacia schaffneri,C15-6-913,0.21,5.2,3.4,1.4,3.7,0.49
CUNORTE,Acacia schaffneri,C15-6-914,1.3,12.8,4.9,3.7,4.5,0.63
CUNORTE,Prosopis laevigata,C15-6-915,2.09,16.3,4.2,2.7,4.5,0.63
CUNORTE,Prosopis laevigata,C15-6-916,2.54,18,5.3,2.5,4.6,0.59
CUNORTE,Acacia schaffneri,C15-6-917,0.58,8.6,4.2,2.1,5.1,0.52
CUNORTE,Acacia schaffneri,C15-6-918,0.38,7,4.1,2,4.5,0.68
CUNORTE,Prosopis laevigata,C15-6-919,0.34,6.6,5.2,2.1,3.1,0.84
CUNORTE,Prosopis laevigata,C15-6-920,1.08,11.7,6.3,3.7,3.6,0.88
CUNORTE,Prosopis laevigata,C15-6-921,4.27,23.3,3.9,2.9,4.8,0.44
CUNORTE,Prosopis laevigata,C15-6-922,17.72,47.5,9.4,7.2,9.4,0.2
CUNORTE,Prosopis laevigata,C15-6-923,0.66,9.2,4.7,3.3,4.2,0.7
CUNORTE,Prosopis laevigata,C15-6-924,2.61,18.2,6.1,3.7,5.3,0.42
CUNORTE,Acacia schaffneri,C15-6-925,0.97,11.1,5.2,3.6,6.2,0.42
CUNORTE,Acacia schaffneri,C15-6-926,0.28,6,4.6,3.7,4.1,0.65
CUNORTE,Prosopis laevigata,C15-6-927,0.79,10,5.4,2.7,3.8,0.44
CUNORTE,Prosopis laevigata,C15-6-928,0.57,8.5,4,2.6,3.1,0.57
CUNORTE,Acacia schaffneri,C15-6-929,0.2,5,3.6,1,2.7,0.77
CUNORTE,Acacia schaffneri,C15-6-930,0.88,10.6,3.6,1.8,4.2,0.42
CUNORTE,Acacia schaffneri,C15-6-931,0.24,5.5,4.1,1.1,3.3,0.59
CUNORTE,Prosopis laevigata,C15-6-932,4.62,24.3,6.4,4,5.3,0.45
CUNORTE,Prosopis laevigata,C15-6-933,2.04,16.1,2.7,1.6,5.3,0.33
CUNORTE,Acacia schaffneri,C15-6-934,0.64,9,3.8,2.1,4.9,0.34
CUNORTE,Acacia schaffneri,C15-6-935,0.24,5.5,2.9,1.6,3.1,0.25
CUNORTE,Acacia schaffneri,C15-6-936,1.49,13.8,5.3,3.2,4.3,0.36
CUNORTE,Acacia schaffneri,C15-6-937,0.36,6.8,5,3.2,3.3,0.52
CUNORTE,Acacia schaffneri,C15-6-938,1.29,12.8,3.1,1.2,3.8,0.44
CUNORTE,Acacia schaffneri,C15-6-939,0.7,9.4,4,2.3,4.5,0.55
CUNORTE,Prosopis laevigata,C15-6-940,4.31,23.4,5.3,2.8,6,0.25
CUNORTE,Prosopis laevigata,C15-6-941,9.06,34,6.4,4.4,8.5,0.53
CUNORTE,Acacia schaffneri,C15-6-942,0.3,6.2,5,2.6,3.8,0.75
CUNORTE,Acacia schaffneri,C15-6-943,0.65,9.1,4.7,4.1,4.5,0.48
CUNORTE,Prosopis laevigata,C15-6-944,0.9,10.7,3.4,1.9,3.9,0.31
CUNORTE,Acacia schaffneri,C15-6-945,0.28,6,4.5,2.8,4.1,0.37
CUNORTE,Acacia schaffneri,C15-6-946,0.3,6.2,3.8,1.2,4,0.31
CUNORTE,Acacia schaffneri,C15-6-947,0.9,10.7,3.8,1.9,4,0.67
CUNORTE,Acacia schaffneri,C15-6-948,0.28,6,4.3,2.3,3.9,0.22
CUNORTE,Acacia schaffneri,C15-6-949,0.65,9.1,3.9,1.9,4.7,0.35
CUNORTE,Prosopis laevigata,C15-6-950,0.3,6.2,2.7,2.1,4.9,0.2
CUNORTE,Acacia schaffneri,C15-6-951,0.28,6,4.2,1.4,3.3,0.52
CUNORTE,Acacia schaffneri,C15-6-952,1.13,12,5,3.2,4.8,0.39
CUNORTE,Acacia schaffneri,C15-6-953,0.3,6.2,3.1,1.5,3.1,0.35
CUNORTE,Acacia schaffneri,C15-6-954,1.32,13,4.6,3,5.2,0.33
CUNORTE,Prosopis laevigata,C15-6-955,0.42,7.3,2.9,1.2,3.6,0.53
CUNORTE,Acacia schaffneri,C15-6-956,0.62,8.9,4.6,2.8,4.5,0.48
CUNORTE,Acacia schaffneri,C15-6-957,0.36,6.8,4,1.5,2.9,0.36
CUNORTE,Acacia schaffneri,C15-6-958,0.79,10,3.5,1.6,5.2,0.73
CUNORTE,Acacia schaffneri,C15-6-959,0.38,7,4.2,2.9,2.2,0.86
CUNORTE,Acacia schaffneri,C15-6-960,0.69,9.4,6.3,4.2,3.5,0.33
CUNORTE,Acacia schaffneri,C15-6-961,0.67,9.2,3.9,2.3,3,0.73
CUNORTE,Acacia schaffneri,C15-6-962,1.25,12.6,3.3,1.5,3.3,0.34
CUNORTE,Acacia schaffneri,C15-6-963,1.17,12.2,3.5,2.3,3.9,0.48
CUNORTE,Acacia schaffneri,C15-6-964,0.3,6.2,3.9,2.8,3.5,0.69
CUNORTE,Acacia schaffneri,C15-6-965,0.67,9.2,4,3.2,3.8,0.62
CUNORTE,Acacia schaffneri,C15-6-966,2.05,16.2,4,3.1,5.9,0.6
CUNORTE,Prosopis laevigata,C15-6-967,0.71,9.5,3.9,2.2,3.4,0.46
CUNORTE,Prosopis laevigata,C15-6-968,3.88,22.2,4.4,3.1,5.2,0.33
CUNORTE,Prosopis laevigata,C15-6-969,6.12,27.9,6.2,5.2,7.7,0.54
CUNORTE,Prosopis laevigata,C15-6-970,52.81,82,10.3,8.7,11.5,0.59
CUNORTE,Prosopis laevigata,C15-6-971,48.78,78.8,8.7,7.2,12.5,0.45
CUNORTE,Acacia farnesiana,C15-6-972,2.46,17.7,3.1,2.2,5.6,0.74
CUNORTE,Acacia farnesiana,C15-6-973,1.51,13.9,3.7,3.1,5.8,0.4
CUNORTE,Prosopis laevigata,C15-6-974,9.5,34.8,9.2,8,11,0.57
CUNORTE,Prosopis laevigata,C15-6-975,9.75,35.2,6.8,5,9.5,0.78
CUNORTE,Prosopis laevigata,C15-6-976,4.91,25,6.2,5,6.7,0.24
CUNORTE,Prosopis laevigata,C15-6-977,4.91,25,6.1,4.5,4.5,0.76
CUNORTE,Prosopis laevigata,C15-6-978,2.27,17,2,1.1,4.7,0.82
CUNORTE,Prosopis laevigata,C15-6-979,18.1,48,10.1,9.3,13,0.57
CUNORTE,Prosopis laevigata,C15-6-980,69.12,93.8,10.3,8.8,15.5,0.61
CUNORTE,Prosopis laevigata,C15-6-981,8.44,32.8,6.5,4.3,8.6,0.73
CUNORTE,Buddleja parviflora,C15-6-982,0.38,7,6.2,4.8,3.1,0.76
CUNORTE,Buddleja parviflora,C15-6-983,0.65,9.1,3.5,2.8,3.5,0.33
CUNORTE,Buddleja parviflora,C15-6-984,0.31,6.3,3.5,2.9,3.6,0.39
CUNORTE,Prosopis laevigata,C15-6-985,29.51,61.3,10.5,7.9,12.2,0.44
CUNORTE,Prosopis laevigata,C15-6-986,4.24,23.2,4.1,3.5,5.9,0.68
CUNORTE,Buddleja parviflora,C15-6-987,0.67,9.2,4.4,4.1,5,0.8
CUNORTE,Prosopis laevigata,C15-6-988,30.75,62.6,10.5,9.1,12.4,0.81
CUNORTE,Prosopis laevigata,C15-6-989,35.89,67.6,10.1,8.9,11.9,0.5
CUNORTE,Prosopis laevigata,C15-6-990,15.6,44.6,7.5,5.5,11.2,0.19
CUNORTE,Prosopis laevigata,C15-6-991,3.8,22,4.9,4.1,7.9,0.77
CUNORTE,Prosopis laevigata,C15-6-992,16.1,45.3,5.8,4.1,7.3,0.76
CUNORTE,Prosopis laevigata,C15-6-993,5.15,25.6,4.4,3.6,7,0.24
CUNORTE,Prosopis laevigata,C15-6-994,3.73,21.8,5,3.2,4.8,0.89
CUNORTE,Prosopis laevigata,C15-6-995,2.27,17,4.2,2.5,6.2,0.35
CUNORTE,Prosopis laevigata,C15-6-996,2.29,17.1,5.5,4.7,6.7,0.44
CUNORTE,Prosopis laevigata,C15-6-997,0.31,6.3,5.2,3.1,3.6,0.57
CUNORTE,Prosopis laevigata,C15-6-998,22.9,54,9.9,6.8,11.3,0.29
CUNORTE,Prosopis laevigata,C15-6-999,11.22,37.8,6.1,4.1,8,0.51
CUNORTE,Prosopis laevigata,C15-6-1000,2.15,16.6,4.3,2.7,4.9,0.87
CUNORTE,Prosopis laevigata,C15-6-1001,1.4,13.3,5.1,4.2,5.5,0.48
CUNORTE,Prosopis laevigata,C15-6-1002,2.94,19.4,5.2,3,5.5,0.78
CUNORTE,Prosopis laevigata,C15-6-1003,3.89,22.3,5.7,4.9,5.8,0.4
CUNORTE,Prosopis laevigata,C15-6-1004,36.75,68.4,11.2,7.3,15.7,0.11
CUNORTE,Prosopis laevigata,C15-6-1005,1.88,15.5,6.2,4.6,4.1,0.71
CUNORTE,Prosopis laevigata,C15-6-1006,7,29.9,6.9,5.3,7.8,0.62
CUNORTE,Prosopis laevigata,C15-6-1007,5.7,26.9,10.4,8.3,10.7,0.61
CUNORTE,Prosopis laevigata,C15-6-1008,11.7,38.6,5.9,2.8,11,0.55
CUNORTE,Prosopis laevigata,C15-6-1009,2.07,16.2,4.9,3.7,4.4,0.41
CUNORTE,Prosopis laevigata,C15-6-1010,4.95,25.1,8.1,7.9,7.2,0.39
CUNORTE,Prosopis laevigata,C15-6-1011,5.9,27.4,8.4,6.9,9.7,0.58
CUNORTE,Prosopis laevigata,C15-6-1012,62.21,89,7.1,6.6,14.4,0.52
CUNORTE,Prosopis laevigata,C15-6-1013,26.6,58.2,16.9,15,11.1,0.35
CUNORTE,Prosopis laevigata,C15-6-1014,32.98,64.8,8.2,7.2,11.3,0.7
CUNORTE,Prosopis laevigata,C15-6-1015,79.89,100.9,9,6.7,16.1,0.45
CUNORTE,Acacia schaffneri,C15-6-1016,0.3,6.2,4.6,3.2,2.7,0.45
CUNORTE,Prosopis laevigata,C15-6-1017,1.81,15.2,4.9,3.9,5.7,0.32
CUNORTE,Acacia schaffneri,C15-6-1018,0.33,6.5,4.5,2.4,2.2,0.69
CUNORTE,Acacia schaffneri,C15-6-1019,0.75,9.8,5,3.2,3.6,0.63
CUNORTE,Acacia schaffneri,C15-6-1020,0.3,6.2,4.6,1.7,13.4,0.99
CUNORTE,Acacia schaffneri,C15-6-1021,3.36,20.7,5.6,4,5.6,0.32
CUNORTE,Acacia schaffneri,C15-6-1022,0.38,7,3.3,0.8,2.4,0.67
CUNORTE,Acacia schaffneri,C15-6-1023,0.3,6.2,4.5,2.6,4.4,0.79
CUNORTE,Acacia schaffneri,C15-6-1024,0.38,7,4.2,1.2,3.2,0.25
CUNORTE,Acacia schaffneri,C15-6-1025,1.22,12.4,3.2,0.5,4.1,0.73
CUNORTE,Acacia schaffneri,C15-6-1026,1.52,13.9,4.5,1.9,3.9,0.31
CUNORTE,Acacia schaffneri,C15-6-1027,0.3,6.2,4.6,1.6,2.9,0.71
CUNORTE,Acacia schaffneri,C15-6-1028,0.91,10.8,4.1,1.9,4.1,0.3
CUNORTE,Acacia schaffneri,C15-6-1029,0.66,9.2,5,2.6,3.4,0.46
CUNORTE,Acacia schaffneri,C15-6-1030,1.04,11.5,4.7,3.1,3.7,0.57
CUNORTE,Acacia schaffneri,C15-6-1031,0.34,6.6,4.1,2.6,2.6,0.78
CUNORTE,Prosopis laevigata,C15-6-1032,5.52,26.5,4,2.3,7.6,0.64
CUNORTE,Acacia schaffneri,C15-6-1033,2.42,17.6,5.2,3.1,5.6,0.57
CUNORTE,Prosopis laevigata,C15-6-1034,2.25,16.9,4.6,2.4,5.7,0.69
CUNORTE,Prosopis laevigata,C15-6-1035,0.3,6.2,4.2,2.4,5.2,0.65
CUNORTE,Prosopis laevigata,C15-6-1036,0.78,10,3.7,2.3,4.6,0.21
CUNORTE,Prosopis laevigata,C15-6-1037,8.24,32.4,7,5.7,9.2,0.68
